id,name_kr,name_en
1963181,김동철,Kim Dong-ceol
1933118,이영준,Lee Yeong-jun
1890142,김동성,Kim Dong-seong
1891116,여운홍,Yeo Un-hong
1893180,이상철,Lee Sang-ceol
1893181,장택상,Jang Taeg-sang
1890150,송필만,Song Pil-man
1894180,한필수,Han Pil-su
1895123,이용설,Lee Yong-seol
18971103,이영준,Lee Yeong-jun
1935159,최규환,Choi Gyu-hwan
1895193,이영준,Lee Yeong-jun
19171103,이영준,Lee Yeong-jun
19091232,김덕열,Kim Deog-yeol
19421129,이은수,Lee Eun-su
18961106,이영준,Lee Yeong-jun
1896166,김범부,Kim Beom-bu
189822,박순천,Park Sun-ceon
1898159,박철규,Park Ceol-gyu
18991130,이은수,Lee Eun-su
187712,서정희,Seo Jeong-hyi
187613,서정희,Seo Jeong-hyi
19151182,정준,Jeong Jun
1914122,정준,Jeong Jun
19091158,정준,Jeong Jun
18991113,박정근,Park Jeong-geun
18971130,김웅권,Kim Ung-gweon
1902156,김준희,Kim Jun-hyi
19031167,우문,U Mun
1902193,이상경,Lee Sang-gyeong
19031169,서민호,Seo Min-ho
1894178,조중현,Cho Jung-hyeon
1888142,유래원,Yu Rae-weon
187716,원용한,Weon Yong-han
19061119,최주일,Choi Ju-il
19041198,정일형,Jeong Il-hyeong
1904189,윤영선,Yoon Yeong-seon
1904147,김인태,Kim In-tae
18991131,송창식,Song Cang-sig
19111220,최석화,Choi Seog-hwa
19121203,이만근,Lee Man-geun
1888143,김교현,Kim Gyo-hyeon
1892157,정구삼,Jeong Gu-sam
1889131,송필만,Song Pil-man
19051217,박제환,Park Je-hwan
19111221,남궁현,Nam Gung-hyeon
1911119,박용직,Park Yong-jig
190511,홍창섭,Hong Cang-seob
1905158,이춘기,Lee Cun-gi
1908156,윤병구,Yoon Byeong-gu
19121158,윤병구,Yoon Byeong-gu
1905189,여영복,Yeo Yeong-bog
19111199,윤병구,Yoon Byeong-gu
1906147,안상한,Ahn Sang-han
1906189,양재하,Yang Jae-ha
19061106,오성환,Oh Seong-hwan
1907160,김영동,Kim Yeong-dong
19101226,윤병구,Yoon Byeong-gu
19061205,김종문,Kim Jong-mun
19061206,김영동,Kim Yeong-dong
1906141,이동환,Lee Dong-hwan
19061207,한국원,Han Gug-weon
1907173,엄상섭,Eom Sang-seob
19091220,박영출,Park Yeong-cul
1954181,김영동,Kim Yeong-dong
1944148,김용현,Kim Yong-hyeon
1889139,백관수,Baeg Gwan-su
1908174,이판열,Lee Pan-yeol
19131207,김용현,Kim Yong-hyeon
